imagefile,id,category,feature,avg-x-r,avg-y-r,xmod,ymod,x,y
LLD JPG all/L (1)_Page_1_Image_0001.jpg,6,graphic,footer,849,2048,1.004728132,1.005025126,853,2058
LLD JPG all/L (1)_Page_1_Image_0001.jpg,5,text-emphasis,b/u/c/centered,863,1810,1.004728132,1.005025126,867,1819
LLD JPG all/L (1)_Page_1_Image_0001.jpg,4,text-emphasis,b/u/c/centered,854,1278,1.004728132,1.005025126,858,1284
LLD JPG all/L (1)_Page_1_Image_0001.jpg,3,text-emphasis,b/u/c/centered,833,877,1.004728132,1.005025126,837,881
LLD JPG all/L (1)_Page_1_Image_0001.jpg,1,graphic,caption,864,493,1.004728132,1.005025126,868,495
LLD JPG all/L (1)_Page_1_Image_0001.jpg,2,graphic,header,255,126,1.004728132,1.005025126,256,127
LLD JPG all/L (1)_Page_2_Image_0001.jpg,1,graphic,footer,850,2053,1.004728132,1.005025126,854,2063
LLD JPG all/L (1)_Page_2_Image_0001.jpg,3,text-emphasis,underline,1139,452,1.004728132,1.005025126,1144,454
LLD JPG all/L (1)_Page_2_Image_0001.jpg,2,graphic,header,258,129,1.004728132,1.005025126,259,130
LLD JPG all/L (1)_Page_3_Image_0001.jpg,2,graphic,footer,856,2049,1.004728132,1.005025126,860,2059
LLD JPG all/L (1)_Page_3_Image_0001.jpg,4,text-emphasis,italic,697,1357,1.004728132,1.005025126,700,1364
LLD JPG all/L (1)_Page_3_Image_0001.jpg,1,text-emphasis,b/u/c/centered,834,379,1.004728132,1.005025126,838,381
LLD JPG all/L (1)_Page_3_Image_0001.jpg,3,graphic,header,252,118,1.004728132,1.005025126,253,119
LLD JPG all/L (1)_Page_4_Image_0001.jpg,3,graphic,footer,843,2059,1.004728132,1.005025126,847,2069
LLD JPG all/L (1)_Page_4_Image_0001.jpg,6,text-emphasis,b/centered,846,1149,1.004728132,1.005025126,850,1155
LLD JPG all/L (1)_Page_4_Image_0001.jpg,4,text-emphasis,align/justify,851,1118,1.004728132,1.005025126,855,1124
LLD JPG all/L (1)_Page_4_Image_0001.jpg,10,text-emphasis,underline,774,1023,1.004728132,1.005025126,778,1028
LLD JPG all/L (1)_Page_4_Image_0001.jpg,7,text-emphasis,spacing,451,784,1.004728132,1.005025126,453,788
LLD JPG all/L (1)_Page_4_Image_0001.jpg,9,text-emphasis,spacing,1118,641,1.004728132,1.005025126,1123,644
LLD JPG all/L (1)_Page_4_Image_0001.jpg,8,text-emphasis,align/justify,1081,564,1.004728132,1.005025126,1086,567
LLD JPG all/L (1)_Page_4_Image_0001.jpg,11,text-emphasis,caps,1083,534,1.004728132,1.005025126,1088,537
LLD JPG all/L (1)_Page_4_Image_0001.jpg,5,text-emphasis,caps,405,297,1.004728132,1.005025126,407,298
LLD JPG all/L (1)_Page_4_Image_0001.jpg,1,text-emphasis,b/u/c/centered,858,220,1.004728132,1.005025126,862,221
LLD JPG all/L (1)_Page_4_Image_0001.jpg,2,graphic,header,245,115,1.004728132,1.005025126,246,116
LLD JPG all/L (10)_Page_1_Image_0001.jpg,5,graphic,footer,853,2041,1.004728132,1.005025126,857,2051
LLD JPG all/L (10)_Page_1_Image_0001.jpg,9,text-emphasis,italic,517,1829,1.004728132,1.005025126,519,1838
LLD JPG all/L (10)_Page_1_Image_0001.jpg,4,text-emphasis,b/c,874,1363,1.004728132,1.005025126,878,1370
LLD JPG all/L (10)_Page_1_Image_0001.jpg,7,text-emphasis,spacing,872,1361,1.004728132,1.005025126,876,1368
LLD JPG all/L (10)_Page_1_Image_0001.jpg,3,text-emphasis,b/u/c/centered,866,1258,1.004728132,1.005025126,870,1264
LLD JPG all/L (10)_Page_1_Image_0001.jpg,8,text-emphasis,caps,432,951,1.004728132,1.005025126,434,956
LLD JPG all/L (10)_Page_1_Image_0001.jpg,6,text-emphasis,spacing,862,815,1.004728132,1.005025126,866,819
LLD JPG all/L (10)_Page_1_Image_0001.jpg,2,text-emphasis,b/u/c/centered,870,814,1.004728132,1.005025126,874,818
LLD JPG all/L (10)_Page_1_Image_0001.jpg,1,graphic,caption,886,452,1.004728132,1.005025126,890,454
LLD JPG all/L (10)_Page_2_Image_0001.jpg,1,graphic,footer,849,2043,1.004728132,1.005025126,853,2053
LLD JPG all/L (10)_Page_2_Image_0001.jpg,2,text-emphasis,bold,867,1331,1.004728132,1.005025126,871,1338
LLD JPG all/L (10)_Page_2_Image_0001.jpg,3,text-emphasis,spacing,870,1312,1.004728132,1.005025126,874,1319
LLD JPG all/L (10)_Page_2_Image_0001.jpg,4,text-emphasis,bold,864,507,1.004728132,1.005025126,868,510
LLD JPG all/L (10)_Page_3_Image_0001.jpg,1,graphic,footer,884,2061,1.004728132,1.005025126,888,2071
LLD JPG all/L (10)_Page_3_Image_0001.jpg,2,text-emphasis,italic,807,1219,1.004728132,1.005025126,811,1225
LLD JPG all/L (10)_Page_4_Image_0001.jpg,2,text-emphasis,align/justify,486,1010,1.004728132,1.005025126,488,1015
LLD JPG all/L (10)_Page_4_Image_0001.jpg,3,text-emphasis,spacing,490,1009,1.004728132,1.005025126,492,1014
LLD JPG all/L (10)_Page_4_Image_0001.jpg,4,graphic,seal,1273,848,1.004728132,1.005025126,1279,852
LLD JPG all/L (10)_Page_4_Image_0001.jpg,5,text-emphasis,align/justify,1240,659,1.004728132,1.005025126,1246,662
LLD JPG all/L (10)_Page_4_Image_0001.jpg,1,graphic,handwriting,1243,643,1.004728132,1.005025126,1249,646
LLD JPG all/L (100)_Page_01.jpg,3,text-emphasis,underline,840,1644,1,1,840,1644
LLD JPG all/L (100)_Page_01.jpg,2,text-emphasis,b/c/centered,833,1522,1,1,833,1522
LLD JPG all/L (100)_Page_01.jpg,1,graphic,caption,774,760,1,1,774,760
LLD JPG all/L (100)_Page_02.jpg,2,graphic,footer,853,2050,1,1,853,2050
LLD JPG all/L (100)_Page_02.jpg,1,text-emphasis,b/c/centered,853,448,1,1,853,448
LLD JPG all/L (100)_Page_03.jpg,2,graphic,footer,838,2044,1,1,838,2044
LLD JPG all/L (100)_Page_03.jpg,1,text-emphasis,b/c/centered,861,1597,1,1,861,1597
LLD JPG all/L (100)_Page_04.jpg,4,graphic,footer,859,2059,1,1,859,2059
LLD JPG all/L (100)_Page_04.jpg,11,text-emphasis,italic,941,1942,1,1,941,1942
LLD JPG all/L (100)_Page_04.jpg,10,text-emphasis,italic,565,1797,1,1,565,1797
LLD JPG all/L (100)_Page_04.jpg,9,text-emphasis,italic,731,1726,1,1,731,1726
LLD JPG all/L (100)_Page_04.jpg,8,text-emphasis,italic,1402,1557,1,1,1402,1557
LLD JPG all/L (100)_Page_04.jpg,2,text-emphasis,bold,875,1402,1,1,875,1402
LLD JPG all/L (100)_Page_04.jpg,3,text-emphasis,spacing,875,1398,1,1,875,1398
LLD JPG all/L (100)_Page_04.jpg,1,text-emphasis,b/c/centered,865,1298,1,1,865,1298
LLD JPG all/L (100)_Page_04.jpg,7,text-emphasis,italic,873,1181,1,1,873,1181
LLD JPG all/L (100)_Page_04.jpg,6,text-emphasis,italic,743,602,1,1,743,602
LLD JPG all/L (100)_Page_04.jpg,5,text-emphasis,italic,1040,452,1,1,1040,452
LLD JPG all/L (100)_Page_05.jpg,4,graphic,footer,839,2033,1,1,839,2033
LLD JPG all/L (100)_Page_05.jpg,9,text-emphasis,italic,854,1607,1,1,854,1607
LLD JPG all/L (100)_Page_05.jpg,2,text-emphasis,bold,780,1144,1,1,780,1144
LLD JPG all/L (100)_Page_05.jpg,8,text-emphasis,italic,1332,872,1,1,1332,872
LLD JPG all/L (100)_Page_05.jpg,1,text-emphasis,bold,855,700,1,1,855,700
LLD JPG all/L (100)_Page_05.jpg,3,text-emphasis,spacing,832,694,1,1,832,694
LLD JPG all/L (100)_Page_05.jpg,7,text-emphasis,italic,1302,458,1,1,1302,458
LLD JPG all/L (100)_Page_05.jpg,6,text-emphasis,italic,486,457,1,1,486,457
LLD JPG all/L (100)_Page_05.jpg,10,text-emphasis,italic,1184,373,1,1,1184,373
LLD JPG all/L (100)_Page_05.jpg,5,text-emphasis,italic,1432,285,1,1,1432,285
LLD JPG all/L (100)_Page_06.jpg,1,graphic,footer,860,2045,1,1,860,2045
LLD JPG all/L (100)_Page_06.jpg,4,text-emphasis,italic,920,1674,1,1,920,1674
LLD JPG all/L (100)_Page_06.jpg,3,text-emphasis,italic,944,1455,1,1,944,1455
LLD JPG all/L (100)_Page_06.jpg,2,text-emphasis,italic,1430,902,1,1,1430,902
LLD JPG all/L (100)_Page_06.jpg,5,text-emphasis,italic,795,762,1,1,795,762
LLD JPG all/L (100)_Page_07.jpg,3,graphic,footer,851,2058,1,1,851,2058
LLD JPG all/L (100)_Page_07.jpg,4,text-emphasis,footnote,848,1928,1,1,848,1928
LLD JPG all/L (100)_Page_07.jpg,2,text-emphasis,bold,775,1104,1,1,775,1104
LLD JPG all/L (100)_Page_07.jpg,6,text-emphasis,italic,697,875,1,1,697,875
LLD JPG all/L (100)_Page_07.jpg,1,text-emphasis,bold,936,322,1,1,936,322
LLD JPG all/L (100)_Page_07.jpg,5,text-emphasis,spacing,930,311,1,1,930,311
LLD JPG all/L (100)_Page_08.jpg,3,graphic,footer,843,2056,1,1,843,2056
LLD JPG all/L (100)_Page_08.jpg,4,text-emphasis,footnote,848,1929,1,1,848,1929
LLD JPG all/L (100)_Page_08.jpg,2,text-emphasis,bold,849,1670,1,1,849,1670
LLD JPG all/L (100)_Page_08.jpg,5,text-emphasis,italic,749,1444,1,1,749,1444
LLD JPG all/L (100)_Page_08.jpg,8,text-emphasis,italic,523,1292,1,1,523,1292
LLD JPG all/L (100)_Page_08.jpg,7,text-emphasis,italic,1330,1068,1,1,1330,1068
LLD JPG all/L (100)_Page_08.jpg,6,text-emphasis,italic,327,1067,1,1,327,1067
LLD JPG all/L (100)_Page_08.jpg,1,text-emphasis,bold,853,918,1,1,853,918
LLD JPG all/L (100)_Page_09.jpg,2,graphic,footer,850,2049,1,1,850,2049
LLD JPG all/L (100)_Page_09.jpg,1,text-emphasis,footnote,562,1978,1,1,562,1978
LLD JPG all/L (100)_Page_09.jpg,3,graphic,delimiter,394,1948,1,1,394,1948
LLD JPG all/L (100)_Page_10.jpg,11,graphic,footer,863,2038,1,1,863,2038
LLD JPG all/L (100)_Page_10.jpg,9,text-emphasis,underline,415,1963,1,1,415,1963
LLD JPG all/L (100)_Page_10.jpg,4,text-emphasis,spacing,452,1830,1,1,452,1830
LLD JPG all/L (100)_Page_10.jpg,8,graphic,delimiter,1243,1662,1,1,1243,1662
LLD JPG all/L (100)_Page_10.jpg,6,text-emphasis,align/justify,1233,1619,1,1,1233,1619
LLD JPG all/L (100)_Page_10.jpg,10,text-emphasis,underline,366,1453,1,1,366,1453
LLD JPG all/L (100)_Page_10.jpg,3,text-emphasis,spacing,418,1335,1,1,418,1335
LLD JPG all/L (100)_Page_10.jpg,7,graphic,delimiter,1253,1159,1,1,1253,1159
LLD JPG all/L (100)_Page_10.jpg,5,text-emphasis,align/justify,1241,1030,1,1,1241,1030
LLD JPG all/L (100)_Page_10.jpg,2,text-emphasis,spacing,1195,994,1,1,1195,994
LLD JPG all/L (100)_Page_10.jpg,1,text-emphasis,bold,252,829,1,1,252,829
LLD JPG all/L (100)_Page_11.jpg,3,graphic,footer,855,2051,1,1,855,2051
LLD JPG all/L (100)_Page_11.jpg,7,text-emphasis,underline,429,734,1,1,429,734
LLD JPG all/L (100)_Page_11.jpg,8,text-emphasis,underline,410,691,1,1,410,691
LLD JPG all/L (100)_Page_11.jpg,2,text-emphasis,spacing,459,603,1,1,459,603
LLD JPG all/L (100)_Page_11.jpg,6,graphic,delimiter,1307,385,1,1,1307,385
LLD JPG all/L (100)_Page_11.jpg,1,text-emphasis,align/justify,1211,320,1,1,1211,320
LLD JPG all/L (100)_Page_11.jpg,4,text-emphasis,spacing,1185,230,1,1,1185,230
LLD JPG all/L (101)_Page_01.jpg,2,graphic,footer,894,2135,1,1,894,2135
LLD JPG all/L (101)_Page_01.jpg,10,text-emphasis,italic,368,2050,1,1,368,2050
LLD JPG all/L (101)_Page_01.jpg,9,text-emphasis,caps,328,1996,1,1,328,1996
LLD JPG all/L (101)_Page_01.jpg,8,text-emphasis,caps,1008,1917,1,1,1008,1917
LLD JPG all/L (101)_Page_01.jpg,7,text-emphasis,caps,1356,1803,1,1,1356,1803
LLD JPG all/L (101)_Page_01.jpg,6,text-emphasis,caps,925,1742,1,1,925,1742
LLD JPG all/L (101)_Page_01.jpg,5,text-emphasis,caps,637,1564,1,1,637,1564
LLD JPG all/L (101)_Page_01.jpg,4,text-emphasis,caps,853,1469,1,1,853,1469
LLD JPG all/L (101)_Page_01.jpg,1,text-emphasis,b/u/c/centered,917,1318,1,1,917,1318
LLD JPG all/L (101)_Page_01.jpg,3,graphic,caption,816,693,1,1,816,693
LLD JPG all/L (101)_Page_02.jpg,2,graphic,footer,896,2128,1,1,896,2128
LLD JPG all/L (101)_Page_02.jpg,4,text-emphasis,italic,869,1132,1,1,869,1132
LLD JPG all/L (101)_Page_02.jpg,5,graphic,list,231,1129,1,1,231,1129
LLD JPG all/L (101)_Page_02.jpg,3,text-emphasis,italic,878,831,1,1,878,831
LLD JPG all/L (101)_Page_02.jpg,1,text-emphasis,b/u/c/centered,884,175,1,1,884,175
LLD JPG all/L (101)_Page_03.jpg,4,graphic,footer,899,2130,1,1,899,2130
LLD JPG all/L (101)_Page_03.jpg,8,text-emphasis,bold,1373,1944,1,1,1373,1944
LLD JPG all/L (101)_Page_03.jpg,3,graphic,table,909,1758,1,1,909,1758
LLD JPG all/L (101)_Page_03.jpg,7,text-emphasis,b/u,912,1576,1,1,912,1576
LLD JPG all/L (101)_Page_03.jpg,2,graphic,table,964,1179,1,1,964,1179
LLD JPG all/L (101)_Page_03.jpg,6,text-emphasis,b/u,987,1036,1,1,987,1036
