imagefile,id,category,feature,avg-x-r,avg-y-r,xmod,ymod,x,y
SCD JPG all/S (10).jpg,4,graphic,handwriting,867,2860,0.666666667,0.666666667,578,1907
SCD JPG all/S (10).jpg,2,text-emphasis,underline,1293,1993,0.666666667,0.666666667,862,1329
SCD JPG all/S (10).jpg,3,graphic,handwriting,1314,1898,0.666666667,0.666666667,876,1265
SCD JPG all/S (10).jpg,1,graphic,handwriting,1270,818,0.666666667,0.666666667,847,545
SCD JPG all/S (100)_Page_01.jpg,5,graphic,delimiter,2258,3067,0.668764752,0.668896321,1510,2052
SCD JPG all/S (100)_Page_01.jpg,6,text-emphasis,footnote,1228,2859,0.668764752,0.668896321,821,1912
SCD JPG all/S (100)_Page_01.jpg,4,graphic,delimiter,605,2778,0.668764752,0.668896321,405,1858
SCD JPG all/S (100)_Page_01.jpg,7,text-emphasis,caps,1847,2556,0.668764752,0.668896321,1235,1710
SCD JPG all/S (100)_Page_01.jpg,3,text-emphasis,b/c/centered,1309,2326,0.668764752,0.668896321,875,1556
SCD JPG all/S (100)_Page_01.jpg,9,text-emphasis,b/i,1232,1680,0.668764752,0.668896321,824,1124
SCD JPG all/S (100)_Page_01.jpg,8,text-emphasis,b/i,1275,1625,0.668764752,0.668896321,853,1087
SCD JPG all/S (100)_Page_01.jpg,10,text-emphasis,caps,1468,1489,0.668764752,0.668896321,982,996
SCD JPG all/S (100)_Page_01.jpg,11,text-emphasis,caps,591,1316,0.668764752,0.668896321,395,880
SCD JPG all/S (100)_Page_01.jpg,12,text-emphasis,b/c,1340,1189,0.668764752,0.668896321,896,795
SCD JPG all/S (100)_Page_01.jpg,1,text-emphasis,b/u/c/centered,1279,1094,0.668764752,0.668896321,855,732
SCD JPG all/S (100)_Page_01.jpg,2,graphic,caption,1267,564,0.668764752,0.668896321,847,377
SCD JPG all/S (100)_Page_02.jpg,12,graphic,footer,2259,3067,0.668764752,0.668896321,1511,2052
SCD JPG all/S (100)_Page_02.jpg,11,text-emphasis,b/i,1366,2874,0.668764752,0.668896321,914,1922
SCD JPG all/S (100)_Page_02.jpg,10,text-emphasis,b/i,1171,2745,0.668764752,0.668896321,783,1836
SCD JPG all/S (100)_Page_02.jpg,9,text-emphasis,b/i,1124,2629,0.668764752,0.668896321,752,1759
SCD JPG all/S (100)_Page_02.jpg,7,text-emphasis,b/i,1136,1988,0.668764752,0.668896321,760,1330
SCD JPG all/S (100)_Page_02.jpg,6,text-emphasis,b/i,739,1863,0.668764752,0.668896321,494,1246
SCD JPG all/S (100)_Page_02.jpg,8,graphic,list,295,1589,0.668764752,0.668896321,197,1063
SCD JPG all/S (100)_Page_02.jpg,5,text-emphasis,b/i,1533,1295,0.668764752,0.668896321,1025,866
SCD JPG all/S (100)_Page_02.jpg,4,text-emphasis,b/i,918,1071,0.668764752,0.668896321,614,716
